artist_name,track_name,release_date,genre,lyrics
Pierce The Veil,Flawless Execution,2023,Screamo,"Blink And I'll explode, I'm just the type Perverted, loneliness defined I'm not obsessed, far worse, I'm fine And pain is unavoidable at times But if it gets shit off your mind I understand, that's kind of why I'm here, right? Yeah [Chorus] Please stop, don't worry I can be your freak I will scar you with my Flawless execution every time [Verse 2] Shame I'm just a tiny parasite But I will eat you up alive All of your tenderness, the flies Swarm around Do you really crave a life? (That's not beholden to me) I didn’t mean to burden you with love in my condition [Chorus] Please stop, don't worry I can be your freak I will scar you with my Flawless execution every time [Bridge] Horrified Swallowing your perfume, why Won't you save me? You and I are blood and wine [Chorus] Please stop, don't worry I can be your freak I will scar you with my Flawless execution every time [Outro] Every time Every time Dead right"
A Day To Remember,Exposed,2016,Screamo,"I won't accept your fear, another stagnant year I'm pro-American but anti-politician (Politician) They'll trade you a voice for an illusion of choice Truth hits like a goddamn premonition [Chorus] Inroads to the hangman's noose, we got a lot to lose Is this where you wanna be? Exhumed, they're not through with you until you're left exposed Is this who you wanna be? [Verse 2] Take what's been given or have none The only claim of the workers in song Get back in line, you've all been warned ""We was beat when we was born"" [Chorus] Inroads to the hangman's noose, we got a lot to lose Is this where you wanna be? Exhumed, they're not through with you until you're left exposed Is this who you wanna be? [Post-Chorus] Is this who you wanna be? Is this who you wanna be? [Breakdown] Like a shark that's combing the surface We got a taste for blood (Blood) Don't believe what the pacifist tells you No war, no peace Reign! [Outro] Don't believe what the pacifist tells you No war, no peace"
Ghost Atlas,Lesser Gods,2024,Screamo,"Stimulated on orchestrated energy Hands molding sculptures of makeshift divinity Driving fast towards the setting sun The night is survived By shadows of ghosts and lesser gods Progenitors to a future generation of wounds [Chorus] See it all in black and blue Falling for convenient truths [Verse 2] Bearing my soul in a halfso testimony Losing my footing in a fraudulent destiny Spiritual inertia grounds me to the grave Darlings to kill, darkness to save Effect deprived of cause Deafened by disembodied applause [Chorus] See it all in black and blue Falling for convenient truths Stoking that fire, blind with desire Even at the cost of love 'Cause I can get higher From the chase of fear and dying [Bridge] Oh, oh See it all in black and blue [Chorus] See it all in black and blue Falling for convenient truths Stoking that fire, blind with desire Even at the cost of love 'Cause I can get higher From the chase of fear and dying [Outro] See the world in black and blue See the world in black and blue See the world in black and blue See the world in black and blue See the world in black and blue"
Silverstein,Skin & Bones,2025,Screamo,"Yeah [Verse 1] They say that everything is black and white You're in the wrong or you do what's right But nothing's fair, no one fucking cares All I ever learned was tragedy [Chorus] Life is gonna leave you quicker than you know Slip right through your hands when you think you've got the rope I've seen it (And we're all, we're all) We're all just skin We're all just skin and bones [Verse 2] The Ides of March, just another sign We made amends, but never said goodbye And now you're gone, everything is lost And all I ever learned is that [Chorus] Life is gonna leave you quicker than you know Slip right through your hands when you think you've got the rope I've seen it (And we're all, we're all) We're all just skin We're all just skin and bones (And we're all, we're all) We're all just skin We're all just skin and bones [Interlude] Even darkness must pass, a new day will come And when the sun shines, it will shine out the clearer Those were the stories that stayed with you, that meant something Even if you were too small to understand why So as I surround myself with memories And as I re-read this tattered book I won't weep when I get to the end I'll turn to the first page and read it again [Bridge] These are the passages that made us Who we are and who we were These are the episodes that showed us Who we are and who we were [Chorus] Life is gonna leave you quicker than you know Slip right through your hands when you think you've got the rope I've seen it (And we're all, we're all) We're all just skin We're all just skin and bones (Skin and bones) (And we're all, we're all) We're all just skin We're all just skin and bones"
Febuary,No Way...,2024,Screamo,And how could I be for you when you never even thought of me? I love you but you never say you're sorry I hate you but I still look forward to putting your hand in mine I love you but you never look at me when you say goodbye I love you but you never look at me when you say goodbye Why do I think of you when you never really cared for me? So why should I be for you when I only ever needed me?
The Fall of Troy,I Just Got This Symphony Goin',2005,Screamo,"“I Just Got This Symphony Goin'” is a re-recorded version of the tenth track from their self-titled album, hence the name Doppelgänger.[Verse 1] All alone, now it feels so hopeless With the temporary blood that you draw Keep in mind when I'm trying to hold this together Now you're gone and I'm wasting away [Chorus] No, we can't deny it Look in my eyes, It's you I confide in Now that I am trying Words I choke back, we can't deny it [Verse 2] Your eyes watching me like a camera Overexposure to these kind of days And the dream was surreal as the film was Shooting stars and galactic fates [Chorus] No, we can't deny it Look in my eyes, It's you, confide in Now that I am trying Words I choke back, we can't deny it [Post-Chorus] Wait another day for my mind to change Con your way out of this and make mistakes I'll stand by this Wait another day, can't find the words to say I know, I need to see you and feel you These days just aren't the way they used to be [Bridge] Scream out my name Wait, we're whole again, you were my pride But where have you been? Full force, full force, full force Look up ahead Mayday, mayday, mayday We're already dead [Chorus] No, we can't deny it Look in my eyes, It's you I confide in Now that I am trying Words I choke back, we can't deny it"
The Used,Wake the Dead,2007,Screamo,"Ah! [Verse 1] Yeah, this is not natural (Yeah, this is not natural) A bunch of holes where the dead used to be on the ground Forget supernatural (Forget supernatural) 'Cause all those resting in peace are out and walking the streets Yeah, with no heartbeat [Chorus] Across the sky, they can hear you on the other side A scream that's loud enough to wake the dead And all alone, you bought tickets for the nightmare As you wake the dead, wake the dead! [Interlude] Ah! [Verse 2] Oh, this is not possible (Yeah, this is not possible) An empty hole in your chest where your heart used to beat Does this mean what I think it means? (Does it mean what I think it means?) How could both you and me be about as dead as we could be Yeah, with no heartbeat? [Chorus] Across the sky, they can hear you on the other side A scream that's loud enough to wake the dead (Wake the dead!) And all alone, you bought tickets for the nightmare As you wake the dead, wake the dead! [Bridge] Take a walk with me (Walk with the dead) 'Cause you knew that we'd have to die sometime (Yeah) Well, darling, tonight could be (Darling, tonight could be) Let your voice shred miles (Of diamond skies) Just to walk as they wake in the darkness (Yeah) Well, darling, tonight could be a beautiful night to die A beautiful night to die, yeah [Breakdown] Wake the dead! Fuck it, you're dead! Wake the dead! Fuck it, you're dead! Wake the dead! Wake the dead! [Chorus] Across the sky, they can ( ha,ha )hear you A scream that's loud enough to wake the dead And all alone, you bought tickets for the nightmare As you wake the dead! (Come on!) Wake the dead! Across the sky, they can hear you on the other side A scream that's loud enough to wake the dead (Wake the dead) And all alone, you bought tickets for the nightmare As you wake the dead, wake the dead! [Outro] Wake the dead! Wake the dead! Wake the dead! Wake the dead!"
The Used,With Me Tonight,2007,Screamo,"Haha! Haha! [Verse 1] The way I broke your heart, very literally This ghost haunts me more than it should be I'm not gonna walk away or turn my head in shame I never thought it could kill me [Pre-Chorus] A clean slate, one more day, further away [Chorus] I want you, you don't want me My mistake for wasting yours and mine I want you, but will you stay With me today? With me today? [Interlude] Ch-ck-cha [Verse 2] Just let me make some time to take it back a little The way you smile shines the heavens above me (Heavens above me) Never gonna let you go, I want you all the time I gotta prove you can trust me [Pre-Chorus] A clean slate, one more day, further away [Chorus] I want you, you don't want me My mistake for wasting yours and mine I want you, but will you stay With me today? With me today? I need you, you don't need me When you are low, I am not okay I want you, but will you stay With me today? With me today? With me today? With me today? [Instrumental Bridge] [Pre-Chorus] A clean slate, one more day, further away, yeah [Chorus] I want you, you don't want me My mistake for wasting yours and mine I want you, but will you stay With me today? With me today? I need you, you don't need me When you are low, I am not okay I want you, but will you stay With me today? With me today? With me today? With me today? [Outro] Ch-ck-ch-ka"
Alexisonfire,Born and Raised,2009,Screamo,"All blossoms die in the light of our new culture Find your belief in that which cannot be discovered Countless lessons lie in every fever dream A million voices asking, what does it all mean? [Pre-Chorus: Dallas Green and Wade MacNeil] I've lost all direction, I've lost all my direction And now I wish that I would have believed, could have believed Escape, escape nature's indifferent hand Retreat, retreat to the bliss of our creation [Chorus: Green and MacNeil] Born and raised, we're raised to live beyond The heft and weight of a world undone Like a bird, we search From the north for warmth Our hearts will roam in search of warmth [Verse 2: Pettit] Two hands come together to pray for greater yields Two poles of a compass guided by a field In the mind of every man, two ghosts dance Was this place made, or was it here by chance? [Pre-Chorus: Green and MacNeil] I've lost all direction, I've lost all my direction And now I wish that I would have believed, could have believed Escape, escape nature's indifferent hand Retreat, retreat to the bliss of our creation [Chorus: Green and MacNeil] Born and raised, we're raised to live beyond The heft and weight of a world undone Like a bird, we search From the north for warmth Our hearts will roam in search of warmth [Bridge: Pettit] Uncountable numbers written in new fallen snow I can hear the claws of the beast tapping at my window Nihilist sleeps and in dreams he sees god's face Realize even disbelief requires a leap of faith From birth to death, we search for what's yet to be known We and hope and pray and ask, but we are never shown [Chorus: Green and MacNeil] Born and raised, we're raised to live beyond The heft and weight of a world undone Like a bird, we search From the north for warmth Our hearts will roam in search of warmth [Outro: Green and MacNeil] 'Cause we were born and raised (We're raised) Born and raised (We're raised) Born and raised (We're raised) Born and raised"
Issues,Without You,2019,Screamo,"What's the point of holding hands at the end of the hall? What's the point of skipping class and getting lost in the stall? What's the point of falling for in a world of falling floors? She a fan of the Wu, so for the moment it's yours I can't read your mind, but that kush do tell I can reach behind, and squeeze and greet you well Evade your exes 'round you talking 'bout when we chillin' Good guys never mattered when euphoria's the healing [Pre-Chorus] Miss Sugar, Honey, Ice Tea I used to see waterfalls come to my knees Got a shoulder you can lean on Wouldn't dream of leading you on Miss Sugar, Honey, Ice Tea I used to see waterfalls come to my knees Got a shoulder you can lean on Wouldn't dream of leading you on (Go, go) [Chorus] No, I can't read your mind this time As much as I've tried and tried I just wish I knew, I just wish I knew And then this whole time Wouldn't have been spent without Without you [Verse 2] One shot down, make the soul go free Two shots down, I'll make the door for that key Three shots down, she finally said it to me ""Yo, can't you read the signs?"" Now I'm planning for that pedigree In the back of my jeep Moving the passenger seat The passion lashing and dashing And galaxies (Sees) the climaxion (Action) Love can beat all the madness Fully deplete all the sadness And I know, and I know [Pre-Chorus] Miss Sugar, Honey, Ice Tea I used to see waterfalls come to my knees Got a shoulder you can lean on Wouldn't dream of leading you on [Chorus] No, I can't read your mind this time As much as I've tried and tried I just wish I knew, I just wish I knew And then this whole time Wouldn't have been spent without Without you [Pre-Chorus] Miss Sugar, Honey, Ice Tea I used to see waterfalls come to my knees Got a shoulder you can lean on Wouldn't dream of leading you on Miss Sugar, Honey, Ice Tea Used to see waterfalls come to my knees Got a shoulder you can lean on Wouldn't dream of leading you on [Chorus] No, I can't read your mind this time As much as I've tried and tried (Ooh) I just wish I knew, I just wish I knew And then this whole time Wouldn't have been spent without Without you"
Silverstein,Fist Wrapped In Blood,2005,Screamo,"Come on [Verse 1] Finish me off, follow the plan Break all the bonds, sever the ties And now your mission is complete Find and destroy me Torturing me, with words from your lips Filleting my skin, pulling my teeth Please, forgive me for not being good enough [Chorus] Drown your sorrows in my pain (Pain) And it's something you can't explain When I'm choking on words you'll never say (Say) And you'll never feel the same [Verse 2] Bound and gagged I cannot move or speak these things I wanna say I can't explain them anyway So if I had it all again, if I could start from the first words I ever said I would do it all the same [Chorus] Drown your sorrows in my pain (Pain) And it's something you can't explain When I'm choking on words you'll never say (Say) And you'll never feel the same [Post-Chorus] Your joy is my pain [Bridge] My fingers are yours to cut off And my bones are yours to shatter in pieces My teeth are yours to pull out And my soul is yours to slowly rip apart [Outro] I can't trust anyone I meet From now on, my chest feels more like A fist wrapped in blood"
Scary Kids Scaring Kids,Degenerates,2007,Screamo,"Invincible? You think you can handle it? You will learn from this! I'm telling you friend This is something worth fighting for Does it not seem contradicting To sit back, and watch them take more Caught like a deer in their headlights You're stuck Now you're bound by your fears I suggest you break free Or you'll forever be damned here We are merely degenerates waiting for you to come sweep us off of our feet! They keep marching on Spilling blood like savages Taking lives while your cigarette burns. Burns! You can't tell me my friend That that wasn't worth dying for Gave it all and received nothing May as well have let them take more Dig deep find the courage to speak Are you really still bound by your fear? This is all just a dream now You can't speak and you're damned here We are merely degenerates waiting for you to come sweep us off of our feet! They keep marching on Spilling blood like savages Taking lives while your cigarette burns. Burns! This is our fight for freedom This is our way of saying This is our day We've been waiting for this one day all our lives This nothing short of predictable Stop holding your head down Give it up! Get a hold of yourself now Or give it up! You're like a deer in the headlights You've given up! To save your life We've been waiting Yeah waiting all our lives This nothing short of predictable Stop holding your head down Give it up! Get a hold of yourself now Or give it up! You're like a deer in the headlights You've given up! To save your life Find the will to save your life!"
Escape the Fate,Harder Than You Know,2010,Screamo,"You said this could only get better There's no rush cause we have each other You said this would last forever But now I doubt if I was your only lover [Pre-Chorus] Are we just lost in time? I wonder if your love's the same Cause I'm not over you [Chorus] Baby, don't talk to me I'm trying to let go Not loving you is harder than you know Cause girl you're driving me so crazy [Verse 2] How can I miss you if you never would stay? If you need time I guess I'll go away (I'll go away) Inside me now there's only heartache and pain So where's the fire, you've begun the rain [Pre-Chorus] Are we just lost in time? I wonder if your love's the same Cause I'm not over you [Chorus] Baby, don't talk to me I'm trying to let go Not loving you is harder than you know Cause girl you're driving me so crazy [Post-Chorus] And if you don't want me then I guess I'll have to go (I guess I'll have to go) Not loving you is harder than you know (Yeah) [Verse 2] So I'll make the call And I'll leave today I'm gonna miss you cause I love you baby Yeah, I'll make the call I'm leaving today And leaving always drives me crazy [Bridge] Leaving always drives me crazy Baby, don't talk to me I'm trying to let go Not loving you is harder than you know (Yeah) [Chorus] Baby, don't talk to me I'm trying to let go Not loving you is harder than you know Cause girl you're driving me so crazy [Post-Chorus] And if you don't want me then I guess I'll have to go (I guess I'll have to go) Not loving you is harder than you know Girl you're driving me so crazy [Outro] Baby, don't talk to me I'm trying to let go Not loving you is harder than you know Girl you're driving me so crazy"
Chiodos,There's No Penguins In Alaska,2005,Screamo,"The song title was originally a Snapple fact found on the inside of a cap.She loves me, she loves me not My love was my decay She loves me, she loves me not He repeated to himself over and over These petals decide what's next for you and I... [Chorus] Never resting time, leads summer on, leads summer on Never resting time, leads summer on, leads summer on The worst was...the worst was this: My love was (my decay) my love was... My love was (my decay) my love was... Finding oneself in such murderous shame Playing roulette with a flower Mislead devotion into seclusion Devotion. Devotion Scream loud as you want to Scream loud as you want to There's no way that they can hear you There's no way that they can hear you [Chorus] Never resting time, leads summer on, leads summer on Never resting time, leads summer on, leads summer on Never resting time, leads summer on, leads summer on Never resting time, leads summer on, leads summer on I'll stop... Stabbing... When you stop... Screaming..."
Eyes Set To Kill,Broken Frames,2010,Screamo,"Where will you be? You'll be staring right back Right back at me Never, never talk back to me Quiver at the sound That we scream Never been a fan of goodbyes You know that I'd rather leave you here to die You know that And when you say my name You get the best of me I feel, I can feel You're bitter You can't get over me Deliver Her body back to sea Won't let you be the death of me You know that Before it's over you will see The waves crash And when you say my name You get the best of me I feel, I can feel You won't be leaving anytime soon You're sewn into my veins I'm left with all the memories Behind the broken frames Far away, far away I can see your face Out of flames you fly Out of broken frames Silence words you cry Left to wonder why I'm waiting And when you say my name You get the best of me I feel, I can feel You won't be leaving anytime soon You're sewn into my veins I'm left with all the memories Behind the broken frames And when you say my name You get the best of me I feel, I can feel You won't be leaving anytime soon You're sewn into my veins I'm left with all the memories Behind the broken frames Behind the broken frames You're sewn into my veins"
The Red Jumpsuit Apparatus,Face Down - Symphonic Edition,2022,Screamo,"Hey girl, you know you drive me crazy One look puts the rhythm in my head Still, I'll never understand why you hang around I see what's going down Cover up with makeup in the mirror Tell yourself it's never gonna happen again You cry alone and then he swears he loves you [Chorus 1] Do you feel like a man when you push her around? Do you feel better now as she falls to the ground? Well I'll tell you, my friend, one day this world's going to end As your lies crumble down, a new life she has found [Verse 2] A pebble in the water makes a ripple effect Every action in this world will bear a consequence If you wade around forever you will surely drown I see what's going down [Pre-Chorus 1] I see the way you go and say you're right again Say you're right again Heed my lecture [Chorus 2] Do you feel like a man when you push her around? Do you feel better now as she falls to the ground? Well I'll tell you, my friend, one day this world's going to end As your lies crumble down, a new life she has found [Bridge] Face down in the dirt She said this doesn't hurt She said I've finally had enough Face down in the dirt She said this doesn't hurt She said I've finally had enough [Pre-Chorus 2] One day she will tell you that she has had enough! It's coming round again [Chorus 3] Do you feel like a man when you push her around? Do you feel better now as she falls to the ground? Well I'll tell you, my friend, one day this world's going to end As your lies crumble down, a new life she has found [Chorus 4] Do you feel like a man when you push her around? Do you feel better now as she falls to the ground? Well I'll tell you, my friend, one day this world's going to end As your lies crumble down, a new life she has found [Outro] Face down in the dirt She said this doesn't hurt She said I've finally had enough"
Escape the Fate,Reverse This Curse,2006,Screamo,"A withered past and a blurry future My heart's on an auction, it goes out to the highest bid I live too fast, and I know I will lose her But there is an option: to die is to live in her head [Pre-Chorus] So I'll hang on, never let go I dug this pain into my chest. It's dead [Chorus] One last chance to reverse this curse You stole my heart but I had it first And now I see you've got something to prove And nothing to lose, so let me tell you the truth [Verse 2] A deadly wish but it should've come sooner A corpse in a funeral that I would never attend There is a light on in the back of this house But you're not around, to die is to live in her head [Pre-Chorus] So I'll hang on, never let go I dug this pain into my chest. It's dead [Chorus] One last chance to reverse this curse You stole my heart but I had it first And now I see you've got something to prove And nothing to lose so let me tell you the truth [Refrain] So, this goes Out to the ones that fall in love And to the girl That filled my dark [Bridge] Last night, I had the weirdest dream That you and I drove up the darkest street (Always felt it, never had it. Always felt it, never had it) Passing through these city lights (Always felt it, never had it. Always felt it, never had it) Closure for the kids that died [Chorus] One last chance to reverse this curse You stole my heart but I had it first And now I see you've got something to prove And nothing to lose so let me tell you the truth One last chance to reverse this curse You stole my heart but I had it first And now I see you've got something to prove And nothing to lose so let me tell you the truth [Refrain] So, this goes Out to the ones that fall in love And to the girl That filled my dark"
Sleeping With Sirens,Bloody Knuckles,2022,Screamo,"Yeah Pack your bags 'cause we got no reason to lay low What was my line? Fuck it Two, three, go Sing La-la-la [Verse 1] You always said I'd be a disappointment That I'd be nothing and I'd probably lose it all You thought that I would trip and fall But you'll never see me beg or crawl Can't take it, won't fake it, punch a hole through the wall, try to break it Can't change it, rearrange it, so I guess that I'll just have to face it This is bloody knuckles and I'll show you how to play It's the only way to escape from all the pain, yeah [Chorus] We bought a one-way ticket 'cause we're sick of it all Pack your bags we're going At the bottom, but we got no reason to lay low Like you care anyway, no Here, take one last breath Take all you can till there's nothing left We'll never do what you say, no Until we drop dead, never let go [Verse 2] Another day, another disappointment My head is tripping, might as well just slip away You all think I'm crazy anyway You all think I'm crazy Won't give in, never fit in, it's a knife in the back that you twist in You dig in, don't pretend, I'm already down, but you keep on pushing Life is a fight, but you don't ever fight fair Beat us to the ground, but we will never stay there [Chorus] We bought a one-way ticket 'cause we're sick of it all Pack your bags we're going At the bottom, but we got no reason to lay low Like you care anyway, no Here, take one last breath Take all you can till there's nothing left We'll never do what you say, no Until we drop dead, never let go [Bridge] I won't give in, never fit in It's a knife in the back that you twist in This is bloody knuckles, I'll show you how to play It's the only way to escape from all the pain Away from all this pain [Chorus] We bought a one-way ticket 'cause we're sick of it all Pack your bags we're going At the bottom, but we got no reason to lay low Like you care anyway, no Here, take one last breath Take all you can till there's nothing left We'll never do what you say, no Until we drop dead, never let go"
Saosin,Sleepers,2006,Screamo,"What happened to us all? Have we slept through it? Taking hits off the surface It's too hard to swallow when Their judgments are concentrated On everything they know [Pre-Chorus] Was it all enough? (No fair) Or did it wake you up from your sleeping? [Chorus] I've overheard it once, this has gone on before It's too one in the same when you're accounted for We seem so far away from these things we used to know We seem so far away from everything we are [Verse 2] Everyone that moves around me They're saying nothing That makes the fight a blur Say we're something that no one wanted to hear They know that everything is wrong [Pre-Chorus] Was it all enough? (No fair) Or did it wake you up from your sleeping? [Chorus] I've overheard it once, this has gone on before It's too one in the same when you're accounted for We seem so far away from these things we used to know We seem so far away from everything we are [Outro] All we are is golden, this won't mean a thing All we are is golden, this won't mean a thing"
Dance Gavin Dance,Flossie Dickey Bounce,2016,Screamo,"Dickey passed away on November 23, 2016, almost two… Read More [Chorus: Jon Mess] Cocaine Cocaine cringe fest (The current year) Cocaine cringe fest (The current year) Cocaine cringe fest (The current year) Cocaine cringe fest Cocaine cringe fest [Verse 1: Tilian] Ooh, wow You're looking dirty, need a champagne shower now Lay down, let's see if we can get the lipstick to come out [Refrain: Jon Mess] I know just the thing, the thing to say I got just the- just the song to play Free your mind from, from the cage I can talk a mile a minute Cracked out, snap out of it I don't care, I'm in it Cracked out, snap out of it Mo blow, wow [Chorus: Jon Mess] Cocaine Cocaine cringe fest (The current year) Cocaine cringe fest (The current year) Cocaine cringe fest (The current year) Cocaine cringe fest Cocaine cringe fest [Verse 2: Tilian] We tried, no luck, it's all right Trust me, honey, you look fine I'll just walk around the city telling chickens that I'm pretty And I'd love for them to meet my wife [Refrain: Jon Mess, Tilian] I know just the thing, the thing to say I got just the- just the song to play Free your mind from, from the cage I can talk a mile a minute Cracked out, snap out of it I don't care, I'm in it Cracked out, snap out of it Mo blow (Wow) [Bridge: Tilian] And if we move too slow Let it rot, decay, and decompose If we just let it flow, the fairy dust could tap out 'Cause I'm a rolling stone Never been tied down in one place too long King of the lonely road, it's all I've ever known [Outro: Tilian] Make your move tonight (Oh-oh-oh-oh-oh-oh-oh) C-c-c-close your eyes, don't fight it anymore And when the sun comes up, we won't be wondering what Could have been, should have been Ma-ma-ma-make your move tonight Make your move tonight"
Dance Gavin Dance,Story Of My Bros,2018,Screamo,"My friends and I have parted ways You know I love to make mistakes I'm a disaster, no one's laughing [Pre-Chorus: Tilian] Goodbye The memories will fade away Tomorrow will be yesterday The worst is yet to come At least I'll get there all alone No one around to judge Judge what I've become [Chorus: Jon Mess] I'm smoking weed out of a pussy filled with money, I like this Don't act like you know me I'm smoking weed out of a pussy filled with money, I like this It's under control [Verse 2: Tilian] I got nobody left to blame No hopeful trust for me to break Been dying faster, no one's laughing [Pre-Chorus: Tilian] Goodbye The memories will fade away Tomorrow will be yesterday The worst is yet to come At least I'll get there all alone No one around to judge Judge what I've become [Chorus: Jon Mess] I'm smoking weed out of a pussy filled with money, I like this Don't act like you know me I'm smoking weed out of a pussy filled with money, I like this It's under control [Bridge: Tilian, Jon Mess] Be my bruiser, trust me I'm a loser You're a classy lady, how'd you get so bad? I'm unruly, tie me up and school me You've got privilege, baby, how'd you get so sad? And you can love me, hate me Just don't try to save me Call my name and drag it through the mud Love me, hate me Go on try to break me Go on try to break me I see the glass half poured And then I pee inside the pitcher I wanna wet the bed 'Cause it reminds me I'm a swimmer And when I feel like Greg Then I remind me that I'm Jon (Hi, Jon!) I like to make a mess And then shit on every song [Chorus: Jon Mess] I'm smoking weed out of a pussy filled with money, I like this Don't act like you know me I'm smoking weed out of a pussy filled with money, I like this It's under control We're at the end of the mission, no need for decisions I jump off a cliff, I like this We're at the end of the mission, no need for decisions I fall in a ditch, I like this"
Story Of The Year,Tear Me to Pieces,2023,Screamo,"Tear me to pieces and swallow me 'Cause I can't kill all the anxiety Tear me to pieces, I'm on my knees I'm suffocating and I can't break free [Verse 1] Flying through the static like a bat out of the hell in me Thirty seconds longer 'til this medication dies on me I can't see the end The voices don't make sense [Pre-Chorus] I can't fall asleep, please help me [Chorus] Tear me to pieces and swallow me 'Cause I can't kill all the anxiety Tеar me to pieces, I'm on my knees 'Causе I can't kill all the anxiety I'm suffocating and I can't break free [Post-Chorus] Life's so fucking fake Die for what I hate Before it's too late [Verse 2] Drowning in the data allocated to the worst in you Never lost my faith until the day I realized the truth My Heroes all are dead And I now I can't forget [Pre-Chorus] I can't fall asleep, please help me [Chorus] Tear me to pieces and swallow me 'Cause I can't kill all the anxiety Tear me to pieces, I'm on my knees 'Cause I can't kill all the anxiety Tear me to pieces and swallow me 'Cause I can't kill all the anxiety Tear me to pieces, I'm on my knees 'Cause I can't kill all the anxiety I'm suffocating and I can't break free [Post-Chorus] Life's so fucking fake Die for what I hate Before it's too late (I can't break free) Life's so fucking fake Die for what I hate Before it's too late [Outro] I'm suffocating and I can't break free I'm suffocating and I can't break free I'm suffocating and I can't break free I'm suffocating and I can't break free"
Circa Survive,Get Out,2018,Screamo,I can't get started from the part where I left off yesterday Should've spent my time a little wiser I sat alone guilty as sin waiting for words to come From out of my head still making sense to anyone [Chorus] I can't wait to understand the reason I have yet to translate Any meaning besides It's not worth it to try Get out Get out [Verse 2] Lock myself up in a room without a window Just to see if it was any easier to breathe I was wrong Never underestimate the daylight The air is so much easier to breathe Yeah! [Chorus] I can't wait to understand the reason I have yet to translate Any meaning besides It's not worth it to try Get out Get out Get out Get out [Outro] There's no meaning besides It's not worth it to try Get out Get out Get out Get out Get out Yeah!
Senses Fail,"Rum Is for Drinking, Not for Burning",2004,Screamo,"In one of the more famous scenes in the movie, Captain Jack Sparrow’s rum is burned by Elizabeth Swan as… Read More [Verse 1] This captain goes down with the ship All hands on deck, stand hip to hip I shout the order, shoot to kill I'm dressed to thrill, I'm dressed to thrill And all my enemies, I want their eyes to see Their captain walk the plank Destroy them rank by rank [Chorus] Sail with me into the setting sun The battle has been won But war has just begun And as we grow, emotion starts to die We need to find a way just to keep our desire alive [Verse 2] Now set the sails to quarter mast We'll jump the ship, we'll sink them fast Men follow me to victory Red as the sea, red as the sea And to the cannon's roar Their bodies dance ashore A pirate's life for me I won't go quietly [Chorus] Sail with me into the setting sun The battle has been won But war has just begun And as we grow, emotion starts to die We need to find a way just to keep our desire alive [Bridge] And to my damsel in distress You've made a mess of your new dress You've made a mess of your new dress You've made a mess [Chorus] Sail with me into the setting sun The battle has been won But war has just begun And as we grow, emotion starts to die We need to find a way just to keep our desire alive [Outro] I'm dressed to thrill, I'm dressed to thrill Just to keep our desire alive I'm dressed to thrill, I'm dressed to thrill"
The Red Jumpsuit Apparatus,Wake Me Up,2011,Screamo,"Time is in our heads and it is in our minds Everything that has a start has a finish line Do you ever sit and marvel at the stars in the sky? When you dive into the ocean do you still feel small? Do you dream that you were running at the pace of a crawl? Are you feeling like you might be getting sick of it all? [Chorus] Wake me up I don't wanna live without your love Lift me up Take me to a place up far above [Verse 2] Every second, every minute, every hour of life Should be treated with the wonder in the eyes of a child Anything can happen when you have to lie to survive Gravity is bugging, I can't stop So lift me up (So lift me up) [Chorus] Wake me up I don't wanna live without your love Lift me up Take me to a place up far above [Bridge] And nothing ever changes (Nothing ever changes) Its shape unless you change it (Its shape unless you change it) And there's no shame in trying Because we're all already dying Wake me up I don't wanna live without your love [Chorus] Wake me up I don't wanna live without your love (Wake me up) Lift me up Take me to a place up far above [Outro] Wake me up (Everything that has a start has a finish line) Wake me up (Do you ever sit and marvel at the stars in the sky?) Lift me up (Everything that has a start has a finish line) Lift me up"
Circa Survive,Act Appalled,2005,Screamo,"You walk straight, not like them To fool them in, make it seem like you're in trouble Make a sound, fake it enough [Pre-Chorus] What made you so scared? Maybe you're mistaken for someone who cares [Chorus] If you remember, remember I've been trying to get back to the centre I'm sure it's not like it was before [Verse 2] To make them drink, tell them that it's only water No one leaves 'till we figure this out [Pre-Chorus] What made you so scared? Maybe you're mistaken for someone who cares [Chorus] If you remember, remember I've been trying to get back to the centre I'm sure it's not like it was before [Bridge] Patience Both we and our words are over produced by influence By influence Patience (Patience) Both we and our words are overproduced by influence (By influence) By influence (By influence) [Outro Chorus] I'm only asking if you remember, remember I've been trying to get back to the centre I'm sure it's not like it was..."
